Image,png,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo
5_voice_en_35071004_dreamtalk,0.png,13.08563232,6.36993742,5.097644383,4.490725994,76.85153961,0.6743325,0.625974357,4.099445343,59.84038544,65.62090302,0.603900611,0.592973709,79.88912201,0.617719471,0.313720703,4.055770397,4.145661354,5.138968468,0.753278165,0.805296659,0.786687103
5_voice_en_35071004_dreamtalk,1.png,13.05145264,6.705795288,5.406155358,4.716645718,76.47048187,0.633639812,0.62714541,4.206136227,60.09627533,64.17307281,0.586679697,0.580083489,78.54937744,0.61283797,0.310302734,4.135964394,4.075592995,5.12173748,0.751701391,0.785556436,0.783391533
5_voice_en_35071004_dreamtalk,2.png,13.49041748,6.660295963,5.656587833,4.771699905,77.05201721,0.60749191,0.617426157,4.103874207,60.81717682,63.22442627,0.571947813,0.565804839,76.74227905,0.607741773,0.270996094,3.999686718,4.010238647,4.711885929,0.746931404,0.77158469,0.791674026
5_voice_en_35071004_dreamtalk,3.png,18.15008545,5.805373192,6.379476602,4.678658485,76.30553436,0.586257935,0.594590247,4.085901737,59.93149567,63.8920517,0.511491418,0.546487868,75.67415619,0.611300051,0.291992188,4.045357704,3.998771429,4.731229782,0.729787945,0.775805414,0.773387863
5_voice_en_35071004_dreamtalk,4.png,16.56414795,5.892473221,6.306678908,4.964840889,77.16216278,0.593874633,0.567221522,4.182011604,60.86288452,63.54885864,0.558722913,0.565840483,73.19250488,0.595485151,0.283691406,4.138441563,4.01748085,4.957446575,0.74481293,0.76734072,0.761688713
5_voice_en_35071004_dreamtalk,5.png,21.28875732,5.708250523,6.661138577,4.584024429,75.77002716,0.583423793,0.547385693,3.997656345,59.5709343,64.74629211,0.485812634,0.5229581,67.44308472,0.550732553,0.270263672,3.995318413,3.910459995,5.004485607,0.727049279,0.783077359,0.747170237
5_voice_en_35071004_iplap,0.png,20.75653076,5.823894024,4.176973788,4.85806942,64.94789124,0.597764671,0.444362193,4.243157864,59.265522,69.91408539,0.633610368,0.615115643,52.01631546,0.404459059,0.284179688,4.823544502,4.39538002,5.105495453,0.956775142,0.957495809,0.946258951
5_voice_en_35071004_iplap,1.png,12.88983154,6.727913857,3.6730273,4.907978058,65.16152954,0.618031204,0.480179667,4.456949711,60.7050972,71.04087067,0.658938706,0.630823314,58.5853653,0.415320128,0.244995117,4.885146618,4.451686859,5.029297352,0.959801033,0.965506911,0.952435236
5_voice_en_35071004_iplap,2.png,19.63006592,5.936775684,4.11742782,4.888947487,65.60562134,0.599421978,0.446117461,4.318928719,60.1584053,70.95165253,0.596409023,0.605224967,54.3560257,0.41061461,0.272949219,4.8328619,4.414028168,5.028891563,0.957756943,0.961882412,0.951186318
5_voice_en_35071004_iplap,3.png,13.02362061,6.756491184,3.660136335,4.906145096,65.71883392,0.622116327,0.478488386,4.451828957,61.22896576,71.30464172,0.629752398,0.633580267,59.19202042,0.416081548,0.257080078,4.917622566,4.448468208,4.997901917,0.913133547,0.927256882,0.904454482
